week_from,week_until,calendar_week,bfsNumber,residence,vacc_status,nCumul
2021-02-22,2021-02-28,8,103,Bezirk Bulach,completedBasicImmu,3156
2021-02-22,2021-02-28,8,103,Bezirk Bulach,booster,0
2021-02-22,2021-02-28,8,104,Bezirk Dielsdorf,atLeastOneDose,3917
2021-02-22,2021-02-28,8,104,Bezirk Dielsdorf,completedBasicImmu,1588
2021-02-22,2021-02-28,8,104,Bezirk Dielsdorf,booster,0
2021-02-22,2021-02-28,8,105,Bezirk Hinwil,atLeastOneDose,5240
2021-02-22,2021-02-28,8,105,Bezirk Hinwil,completedBasicImmu,1473
2021-02-22,2021-02-28,8,105,Bezirk Hinwil,booster,0
2021-02-22,2021-02-28,8,106,Bezirk Horgen,atLeastOneDose,6557
2021-02-22,2021-02-28,8,106,Bezirk Horgen,completedBasicImmu,2618
2021-02-22,2021-02-28,8,106,Bezirk Horgen,booster,0
2021-02-22,2021-02-28,8,107,Bezirk Meilen,atLeastOneDose,7857
2021-02-22,2021-02-28,8,107,Bezirk Meilen,completedBasicImmu,3497
2021-02-22,2021-02-28,8,107,Bezirk Meilen,booster,0
2021-02-22,2021-02-28,8,108,Bezirk Pfaffikon,atLeastOneDose,3087
2021-02-22,2021-02-28,8,108,Bezirk Pfaffikon,completedBasicImmu,1333
2021-02-22,2021-02-28,8,108,Bezirk Pfaffikon,booster,0
2021-02-22,2021-02-28,8,109,Bezirk Uster,atLeastOneDose,7088
2021-02-22,2021-02-28,8,109,Bezirk Uster,completedBasicImmu,3131
2021-02-22,2021-02-28,8,109,Bezirk Uster,booster,0
2021-02-22,2021-02-28,8,110,Bezirk Winterthur,atLeastOneDose,9443
2021-02-22,2021-02-28,8,110,Bezirk Winterthur,completedBasicImmu,4055
2021-02-22,2021-02-28,8,110,Bezirk Winterthur,booster,0
2021-02-22,2021-02-28,8,111,Bezirk Dietikon,atLeastOneDose,4260
2021-02-22,2021-02-28,8,111,Bezirk Dietikon,completedBasicImmu,1803
2021-02-22,2021-02-28,8,111,Bezirk Dietikon,booster,0
2021-02-22,2021-02-28,8,112,Bezirk Zurich,atLeastOneDose,24045
2021-02-22,2021-02-28,8,112,Bezirk Zurich,completedBasicImmu,10911
2021-02-22,2021-02-28,8,112,Bezirk Zurich,booster,0
2021-02-22,2021-02-28,8,NA,andere Kantone,atLeastOneDose,762
2021-02-22,2021-02-28,8,NA,andere Kantone,completedBasicImmu,409
2021-02-22,2021-02-28,8,NA,andere Kantone,booster,0
2021-02-22,2021-02-28,8,NA,Nachbarkantone,atLeastOneDose,3877
2021-02-22,2021-02-28,8,NA,Nachbarkantone,completedBasicImmu,1651
2021-02-22,2021-02-28,8,NA,Nachbarkantone,booster,0
2021-02-22,2021-02-28,8,NA,unbekannt,atLeastOneDose,636
2021-02-22,2021-02-28,8,NA,unbekannt,completedBasicImmu,233
2021-02-22,2021-02-28,8,NA,unbekannt,booster,0
2021-02-22,2021-02-28,8,NA,ZH aber ausserkantonal geimpft,atLeastOneDose,62
2021-02-22,2021-02-28,8,NA,ZH aber ausserkantonal geimpft,completedBasicImmu,1205
2021-02-22,2021-02-28,8,NA,ZH aber ausserkantonal geimpft,booster,0
2021-03-01,2021-03-07,9,101,Bezirk Affoltern,atLeastOneDose,2795
2021-03-01,2021-03-07,9,101,Bezirk Affoltern,completedBasicImmu,1803
2021-03-01,2021-03-07,9,101,Bezirk Affoltern,booster,0
2021-03-01,2021-03-07,9,102,Bezirk Andelfingen,atLeastOneDose,1987
2021-03-01,2021-03-07,9,102,Bezirk Andelfingen,completedBasicImmu,1561
2021-03-01,2021-03-07,9,102,Bezirk Andelfingen,booster,0
2021-03-01,2021-03-07,9,103,Bezirk Bulach,atLeastOneDose,7019
2021-03-01,2021-03-07,9,103,Bezirk Bulach,completedBasicImmu,4649
2021-03-01,2021-03-07,9,103,Bezirk Bulach,booster,0
2021-03-01,2021-03-07,9,104,Bezirk Dielsdorf,atLeastOneDose,4037
2021-03-01,2021-03-07,9,104,Bezirk Dielsdorf,completedBasicImmu,2453
2021-03-01,2021-03-07,9,104,Bezirk Dielsdorf,booster,0
2021-03-01,2021-03-07,9,105,Bezirk Hinwil,atLeastOneDose,5446
2021-03-01,2021-03-07,9,105,Bezirk Hinwil,completedBasicImmu,2619
2021-03-01,2021-03-07,9,105,Bezirk Hinwil,booster,0
2021-03-01,2021-03-07,9,106,Bezirk Horgen,atLeastOneDose,6883
2021-03-01,2021-03-07,9,106,Bezirk Horgen,completedBasicImmu,3725
2021-03-01,2021-03-07,9,106,Bezirk Horgen,booster,0
2021-03-01,2021-03-07,9,107,Bezirk Meilen,atLeastOneDose,8274
2021-03-01,2021-03-07,9,107,Bezirk Meilen,completedBasicImmu,4580
2021-03-01,2021-03-07,9,107,Bezirk Meilen,booster,0
2021-03-01,2021-03-07,9,108,Bezirk Pfaffikon,atLeastOneDose,3187
2021-03-01,2021-03-07,9,108,Bezirk Pfaffikon,completedBasicImmu,1702
2021-03-01,2021-03-07,9,108,Bezirk Pfaffikon,booster,0
2021-03-01,2021-03-07,9,109,Bezirk Uster,atLeastOneDose,7351
2021-03-01,2021-03-07,9,109,Bezirk Uster,completedBasicImmu,4040
2021-03-01,2021-03-07,9,109,Bezirk Uster,booster,0
2021-03-01,2021-03-07,9,110,Bezirk Winterthur,atLeastOneDose,9746
2021-03-01,2021-03-07,9,110,Bezirk Winterthur,completedBasicImmu,5860
2021-03-01,2021-03-07,9,110,Bezirk Winterthur,booster,0
2021-03-01,2021-03-07,9,111,Bezirk Dietikon,atLeastOneDose,4448
2021-03-01,2021-03-07,9,111,Bezirk Dietikon,completedBasicImmu,2600
2021-03-01,2021-03-07,9,111,Bezirk Dietikon,booster,0
2021-03-01,2021-03-07,9,112,Bezirk Zurich,atLeastOneDose,25428
2021-03-01,2021-03-07,9,112,Bezirk Zurich,completedBasicImmu,16170
2021-03-01,2021-03-07,9,112,Bezirk Zurich,booster,0
2021-03-01,2021-03-07,9,NA,andere Kantone,atLeastOneDose,827
2021-03-01,2021-03-07,9,NA,andere Kantone,completedBasicImmu,548
2021-03-01,2021-03-07,9,NA,andere Kantone,booster,0
2021-03-01,2021-03-07,9,NA,Nachbarkantone,atLeastOneDose,4151
2021-03-01,2021-03-07,9,NA,Nachbarkantone,completedBasicImmu,2377
2021-03-01,2021-03-07,9,NA,Nachbarkantone,booster,0
2021-03-01,2021-03-07,9,NA,unbekannt,atLeastOneDose,662
2021-03-01,2021-03-07,9,NA,unbekannt,completedBasicImmu,485
2021-03-01,2021-03-07,9,NA,unbekannt,booster,0
2021-03-01,2021-03-07,9,NA,ZH aber ausserkantonal geimpft,atLeastOneDose,75
2021-03-01,2021-03-07,9,NA,ZH aber ausserkantonal geimpft,completedBasicImmu,1522
2021-03-01,2021-03-07,9,NA,ZH aber ausserkantonal geimpft,booster,0
2021-03-08,2021-03-14,10,101,Bezirk Affoltern,atLeastOneDose,3245
2021-03-08,2021-03-14,10,101,Bezirk Affoltern,completedBasicImmu,2175
2021-03-08,2021-03-14,10,101,Bezirk Affoltern,booster,0
2021-03-08,2021-03-14,10,102,Bezirk Andelfingen,atLeastOneDose,2171
2021-03-08,2021-03-14,10,102,Bezirk Andelfingen,completedBasicImmu,1652
2021-03-08,2021-03-14,10,102,Bezirk Andelfingen,booster,0
2021-03-08,2021-03-14,10,103,Bezirk Bulach,atLeastOneDose,8069
2021-03-08,2021-03-14,10,103,Bezirk Bulach,completedBasicImmu,5161
2021-03-08,2021-03-14,10,103,Bezirk Bulach,booster,0
2021-03-08,2021-03-14,10,104,Bezirk Dielsdorf,atLeastOneDose,4474
2021-03-08,2021-03-14,10,104,Bezirk Dielsdorf,completedBasicImmu,2873
2021-03-08,2021-03-14,10,104,Bezirk Dielsdorf,booster,0
2021-03-08,2021-03-14,10,105,Bezirk Hinwil,atLeastOneDose,6501
2021-03-08,2021-03-14,10,105,Bezirk Hinwil,completedBasicImmu,3605
2021-03-08,2021-03-14,10,105,Bezirk Hinwil,booster,0
2021-03-08,2021-03-14,10,106,Bezirk Horgen,atLeastOneDose,7947
2021-03-08,2021-03-14,10,106,Bezirk Horgen,completedBasicImmu,4464
2021-03-08,2021-03-14,10,106,Bezirk Horgen,booster,0
2021-03-08,2021-03-14,10,107,Bezirk Meilen,atLeastOneDose,9952
2021-03-08,2021-03-14,10,107,Bezirk Meilen,completedBasicImmu,5484
2021-03-08,2021-03-14,10,107,Bezirk Meilen,booster,0
2021-03-08,2021-03-14,10,108,Bezirk Pfaffikon,atLeastOneDose,3670
2021-03-08,2021-03-14,10,108,Bezirk Pfaffikon,completedBasicImmu,2158
2021-03-08,2021-03-14,10,108,Bezirk Pfaffikon,booster,0
2021-03-08,2021-03-14,10,109,Bezirk Uster,atLeastOneDose,8576
2021-03-08,2021-03-14,10,109,Bezirk Uster,completedBasicImmu,4766
2021-03-08,2021-03-14,10,109,Bezirk Uster,booster,0
