date,ageclass,gender,vacc_status,nCumul
2021-01-18,30-39,NA,booster,0
2021-01-18,40-49,d,atLeastOneDose,0
2021-01-18,40-49,d,completedBasicImmu,0
2021-01-18,40-49,d,booster,0
2021-01-18,40-49,f,atLeastOneDose,264
2021-01-18,40-49,f,completedBasicImmu,0
2021-01-18,40-49,f,booster,0
2021-01-18,40-49,m,atLeastOneDose,247
2021-01-18,40-49,m,completedBasicImmu,0
2021-01-18,40-49,m,booster,0
2021-01-18,40-49,NA,atLeastOneDose,0
2021-01-18,40-49,NA,completedBasicImmu,0
2021-01-18,40-49,NA,booster,0
2021-01-18,50-59,d,atLeastOneDose,0
2021-01-18,50-59,d,completedBasicImmu,0
2021-01-18,50-59,d,booster,0
2021-01-18,50-59,f,atLeastOneDose,251
2021-01-18,50-59,f,completedBasicImmu,0
2021-01-18,50-59,f,booster,0
2021-01-18,50-59,m,atLeastOneDose,287
2021-01-18,50-59,m,completedBasicImmu,0
2021-01-18,50-59,m,booster,0
2021-01-18,50-59,NA,atLeastOneDose,0
2021-01-18,50-59,NA,completedBasicImmu,0
2021-01-18,50-59,NA,booster,0
2021-01-18,60-69,d,atLeastOneDose,0
2021-01-18,60-69,d,completedBasicImmu,0
2021-01-18,60-69,d,booster,0
2021-01-18,60-69,f,atLeastOneDose,278
2021-01-18,60-69,f,completedBasicImmu,0
2021-01-18,60-69,f,booster,0
2021-01-18,60-69,m,atLeastOneDose,380
2021-01-18,60-69,m,completedBasicImmu,0
2021-01-18,60-69,m,booster,0
2021-01-18,60-69,NA,atLeastOneDose,0
2021-01-18,60-69,NA,completedBasicImmu,0
2021-01-18,60-69,NA,booster,0
2021-01-18,70-79,d,atLeastOneDose,0
2021-01-18,70-79,d,completedBasicImmu,0
2021-01-18,70-79,d,booster,0
2021-01-18,70-79,f,atLeastOneDose,902
2021-01-18,70-79,f,completedBasicImmu,0
2021-01-18,70-79,f,booster,0
2021-01-18,70-79,m,atLeastOneDose,1230
2021-01-18,70-79,m,completedBasicImmu,0
2021-01-18,70-79,m,booster,0
2021-01-18,70-79,NA,atLeastOneDose,0
2021-01-18,70-79,NA,completedBasicImmu,0
2021-01-18,70-79,NA,booster,0
2021-01-18,80+,d,atLeastOneDose,0
2021-01-18,80+,d,completedBasicImmu,0
2021-01-18,80+,d,booster,0
2021-01-18,80+,f,atLeastOneDose,981
2021-01-18,80+,f,completedBasicImmu,0
2021-01-18,80+,f,booster,0
2021-01-18,80+,m,atLeastOneDose,1070
2021-01-18,80+,m,completedBasicImmu,0
2021-01-18,80+,m,booster,0
2021-01-18,80+,NA,atLeastOneDose,0
2021-01-18,80+,NA,completedBasicImmu,0
2021-01-18,80+,NA,booster,0
2021-01-19,0-9,d,atLeastOneDose,0
2021-01-19,0-9,d,completedBasicImmu,0
2021-01-19,0-9,d,booster,0
2021-01-19,0-9,f,atLeastOneDose,0
2021-01-19,0-9,f,completedBasicImmu,0
2021-01-19,0-9,f,booster,0
2021-01-19,0-9,m,atLeastOneDose,0
2021-01-19,0-9,m,completedBasicImmu,0
2021-01-19,0-9,m,booster,0
2021-01-19,0-9,NA,atLeastOneDose,0
2021-01-19,0-9,NA,completedBasicImmu,0
2021-01-19,0-9,NA,booster,0
2021-01-19,10-19,d,atLeastOneDose,0
2021-01-19,10-19,d,completedBasicImmu,0
2021-01-19,10-19,d,booster,0
2021-01-19,10-19,f,atLeastOneDose,0
2021-01-19,10-19,f,completedBasicImmu,0
2021-01-19,10-19,f,booster,0
2021-01-19,10-19,m,atLeastOneDose,0
2021-01-19,10-19,m,completedBasicImmu,0
2021-01-19,10-19,m,booster,0
2021-01-19,10-19,NA,atLeastOneDose,0
2021-01-19,10-19,NA,completedBasicImmu,0
2021-01-19,10-19,NA,booster,0
2021-01-19,20-29,d,atLeastOneDose,0
2021-01-19,20-29,d,completedBasicImmu,0
2021-01-19,20-29,d,booster,0
2021-01-19,20-29,f,atLeastOneDose,237
2021-01-19,20-29,f,completedBasicImmu,0
2021-01-19,20-29,f,booster,0
2021-01-19,20-29,m,atLeastOneDose,145
2021-01-19,20-29,m,completedBasicImmu,0
2021-01-19,20-29,m,booster,0
2021-01-19,20-29,NA,atLeastOneDose,0
2021-01-19,20-29,NA,completedBasicImmu,0
2021-01-19,20-29,NA,booster,0
2021-01-19,30-39,d,atLeastOneDose,0
2021-01-19,30-39,d,completedBasicImmu,0
2021-01-19,30-39,d,booster,0
2021-01-19,30-39,f,atLeastOneDose,495
2021-01-19,30-39,f,completedBasicImmu,0
2021-01-19,30-39,f,booster,0
2021-01-19,30-39,m,atLeastOneDose,398
2021-01-19,30-39,m,completedBasicImmu,0
2021-01-19,30-39,m,booster,0
2021-01-19,30-39,NA,atLeastOneDose,0
2021-01-19,30-39,NA,completedBasicImmu,0
2021-01-19,30-39,NA,booster,0
2021-01-19,40-49,d,atLeastOneDose,0
2021-01-19,40-49,d,completedBasicImmu,0
2021-01-19,40-49,d,booster,0
2021-01-19,40-49,f,atLeastOneDose,435
2021-01-19,40-49,f,completedBasicImmu,0
2021-01-19,40-49,f,booster,0
2021-01-19,40-49,m,atLeastOneDose,341
2021-01-19,40-49,m,completedBasicImmu,0
2021-01-19,40-49,m,booster,0
2021-01-19,40-49,NA,atLeastOneDose,0
2021-01-19,40-49,NA,completedBasicImmu,0
2021-01-19,40-49,NA,booster,0
2021-01-19,50-59,d,atLeastOneDose,0
2021-01-19,50-59,d,completedBasicImmu,0
2021-01-19,50-59,d,booster,0
2021-01-19,50-59,f,atLeastOneDose,413
2021-01-19,50-59,f,completedBasicImmu,0
2021-01-19,50-59,f,booster,0
2021-01-19,50-59,m,atLeastOneDose,419
2021-01-19,50-59,m,completedBasicImmu,0
2021-01-19,50-59,m,booster,0
2021-01-19,50-59,NA,atLeastOneDose,0
2021-01-19,50-59,NA,completedBasicImmu,0
2021-01-19,50-59,NA,booster,0
2021-01-19,60-69,d,atLeastOneDose,0
2021-01-19,60-69,d,completedBasicImmu,0
2021-01-19,60-69,d,booster,0
2021-01-19,60-69,f,atLeastOneDose,408
2021-01-19,60-69,f,completedBasicImmu,0
2021-01-19,60-69,f,booster,0
2021-01-19,60-69,m,atLeastOneDose,549
2021-01-19,60-69,m,completedBasicImmu,0
2021-01-19,60-69,m,booster,0
2021-01-19,60-69,NA,atLeastOneDose,0
2021-01-19,60-69,NA,completedBasicImmu,0
2021-01-19,60-69,NA,booster,0
2021-01-19,70-79,d,atLeastOneDose,0
2021-01-19,70-79,d,completedBasicImmu,0
2021-01-19,70-79,d,booster,0
2021-01-19,70-79,f,atLeastOneDose,1173
2021-01-19,70-79,f,completedBasicImmu,0
2021-01-19,70-79,f,booster,0
2021-01-19,70-79,m,atLeastOneDose,1556
2021-01-19,70-79,m,completedBasicImmu,0
2021-01-19,70-79,m,booster,0
2021-01-19,70-79,NA,atLeastOneDose,0
2021-01-19,70-79,NA,completedBasicImmu,0
2021-01-19,70-79,NA,booster,0
2021-01-19,80+,d,atLeastOneDose,0
2021-01-19,80+,d,completedBasicImmu,0
2021-01-19,80+,d,booster,0
2021-01-19,80+,f,atLeastOneDose,1315
2021-01-19,80+,f,completedBasicImmu,0
2021-01-19,80+,f,booster,0
2021-01-19,80+,m,atLeastOneDose,1415
2021-01-19,80+,m,completedBasicImmu,0
2021-01-19,80+,m,booster,0
2021-01-19,80+,NA,atLeastOneDose,0
2021-01-19,80+,NA,completedBasicImmu,0
2021-01-19,80+,NA,booster,0
2021-01-20,0-9,d,atLeastOneDose,0
2021-01-20,0-9,d,completedBasicImmu,0
2021-01-20,0-9,d,booster,0
2021-01-20,0-9,f,atLeastOneDose,0
2021-01-20,0-9,f,completedBasicImmu,0
2021-01-20,0-9,f,booster,0
2021-01-20,0-9,m,atLeastOneDose,0
2021-01-20,0-9,m,completedBasicImmu,0
2021-01-20,0-9,m,booster,0
2021-01-20,0-9,NA,atLeastOneDose,0
2021-01-20,0-9,NA,completedBasicImmu,0
2021-01-20,0-9,NA,booster,0
2021-01-20,10-19,d,atLeastOneDose,0
2021-01-20,10-19,d,completedBasicImmu,0
2021-01-20,10-19,d,booster,0
2021-01-20,10-19,f,atLeastOneDose,14
2021-01-20,10-19,f,completedBasicImmu,0
2021-01-20,10-19,f,booster,0
2021-01-20,10-19,m,atLeastOneDose,0
2021-01-20,10-19,m,completedBasicImmu,0
2021-01-20,10-19,m,booster,0
2021-01-20,10-19,NA,atLeastOneDose,0
2021-01-20,10-19,NA,completedBasicImmu,0
2021-01-20,10-19,NA,booster,0
2021-01-20,20-29,d,atLeastOneDose,0
2021-01-20,20-29,d,completedBasicImmu,0
2021-01-20,20-29,d,booster,0
2021-01-20,20-29,f,atLeastOneDose,382
2021-01-20,20-29,f,completedBasicImmu,0
2021-01-20,20-29,f,booster,0
2021-01-20,20-29,m,atLeastOneDose,198
2021-01-20,20-29,m,completedBasicImmu,0
2021-01-20,20-29,m,booster,0
2021-01-20,20-29,NA,atLeastOneDose,0
2021-01-20,20-29,NA,completedBasicImmu,0
2021-01-20,20-29,NA,booster,0
2021-01-20,30-39,d,atLeastOneDose,0
2021-01-20,30-39,d,completedBasicImmu,0
2021-01-20,30-39,d,booster,0
2021-01-20,30-39,f,atLeastOneDose,705
2021-01-20,30-39,f,completedBasicImmu,0
2021-01-20,30-39,f,booster,0
2021-01-20,30-39,m,atLeastOneDose,532
2021-01-20,30-39,m,completedBasicImmu,0
2021-01-20,30-39,m,booster,0
2021-01-20,30-39,NA,atLeastOneDose,0
2021-01-20,30-39,NA,completedBasicImmu,0
2021-01-20,30-39,NA,booster,0
2021-01-20,40-49,d,atLeastOneDose,0
2021-01-20,40-49,d,completedBasicImmu,0
2021-01-20,40-49,d,booster,0
2021-01-20,40-49,f,atLeastOneDose,643
2021-01-20,40-49,f,completedBasicImmu,0
2021-01-20,40-49,f,booster,0
2021-01-20,40-49,m,atLeastOneDose,505
2021-01-20,40-49,m,completedBasicImmu,0
2021-01-20,40-49,m,booster,0
2021-01-20,40-49,NA,atLeastOneDose,0
2021-01-20,40-49,NA,completedBasicImmu,0
2021-01-20,40-49,NA,booster,0
2021-01-20,50-59,d,atLeastOneDose,0
2021-01-20,50-59,d,completedBasicImmu,0
2021-01-20,50-59,d,booster,0
2021-01-20,50-59,f,atLeastOneDose,696
2021-01-20,50-59,f,completedBasicImmu,0
2021-01-20,50-59,f,booster,0
2021-01-20,50-59,m,atLeastOneDose,632
2021-01-20,50-59,m,completedBasicImmu,0
2021-01-20,50-59,m,booster,0
2021-01-20,50-59,NA,atLeastOneDose,0
2021-01-20,50-59,NA,completedBasicImmu,0
2021-01-20,50-59,NA,booster,0
2021-01-20,60-69,d,atLeastOneDose,0
2021-01-20,60-69,d,completedBasicImmu,0
2021-01-20,60-69,d,booster,0
2021-01-20,60-69,f,atLeastOneDose,674
2021-01-20,60-69,f,completedBasicImmu,0
2021-01-20,60-69,f,booster,0
2021-01-20,60-69,m,atLeastOneDose,811
2021-01-20,60-69,m,completedBasicImmu,0
2021-01-20,60-69,m,booster,0
2021-01-20,60-69,NA,atLeastOneDose,0
2021-01-20,60-69,NA,completedBasicImmu,0
2021-01-20,60-69,NA,booster,0
2021-01-20,70-79,d,atLeastOneDose,0
2021-01-20,70-79,d,completedBasicImmu,0
2021-01-20,70-79,d,booster,0
2021-01-20,70-79,f,atLeastOneDose,1753
2021-01-20,70-79,f,completedBasicImmu,0
2021-01-20,70-79,f,booster,0
2021-01-20,70-79,m,atLeastOneDose,2162
2021-01-20,70-79,m,completedBasicImmu,0
2021-01-20,70-79,m,booster,0
2021-01-20,70-79,NA,atLeastOneDose,0
2021-01-20,70-79,NA,completedBasicImmu,0
2021-01-20,70-79,NA,booster,0
2021-01-20,80+,d,atLeastOneDose,0
2021-01-20,80+,d,completedBasicImmu,0
2021-01-20,80+,d,booster,0
2021-01-20,80+,f,atLeastOneDose,2288
2021-01-20,80+,f,completedBasicImmu,0
2021-01-20,80+,f,booster,0
2021-01-20,80+,m,atLeastOneDose,2196
2021-01-20,80+,m,completedBasicImmu,0
2021-01-20,80+,m,booster,0
2021-01-20,80+,NA,atLeastOneDose,0
2021-01-20,80+,NA,completedBasicImmu,0
2021-01-20,80+,NA,booster,0
2021-01-21,0-9,d,atLeastOneDose,0
2021-01-21,0-9,d,completedBasicImmu,0
2021-01-21,0-9,d,booster,0
2021-01-21,0-9,f,atLeastOneDose,0
2021-01-21,0-9,f,completedBasicImmu,0
2021-01-21,0-9,f,booster,0
2021-01-21,0-9,m,atLeastOneDose,0
2021-01-21,0-9,m,completedBasicImmu,0
2021-01-21,0-9,m,booster,0
2021-01-21,0-9,NA,atLeastOneDose,0
2021-01-21,0-9,NA,completedBasicImmu,0
2021-01-21,0-9,NA,booster,0
2021-01-21,10-19,d,atLeastOneDose,0
2021-01-21,10-19,d,completedBasicImmu,0
2021-01-21,10-19,d,booster,0
2021-01-21,10-19,f,atLeastOneDose,31
2021-01-21,10-19,f,completedBasicImmu,0
2021-01-21,10-19,f,booster,0
2021-01-21,10-19,m,atLeastOneDose,13
2021-01-21,10-19,m,completedBasicImmu,0
2021-01-21,10-19,m,booster,0
2021-01-21,10-19,NA,atLeastOneDose,0
2021-01-21,10-19,NA,completedBasicImmu,0
2021-01-21,10-19,NA,booster,0
2021-01-21,20-29,d,atLeastOneDose,0
2021-01-21,20-29,d,completedBasicImmu,0
2021-01-21,20-29,d,booster,0
2021-01-21,20-29,f,atLeastOneDose,508
2021-01-21,20-29,f,completedBasicImmu,12
2021-01-21,20-29,f,booster,0
2021-01-21,20-29,m,atLeastOneDose,261
2021-01-21,20-29,m,completedBasicImmu,0
2021-01-21,20-29,m,booster,0
2021-01-21,20-29,NA,atLeastOneDose,0
2021-01-21,20-29,NA,completedBasicImmu,0
2021-01-21,20-29,NA,booster,0
2021-01-21,30-39,d,atLeastOneDose,0
2021-01-21,30-39,d,completedBasicImmu,0
2021-01-21,30-39,d,booster,0
2021-01-21,30-39,f,atLeastOneDose,955
2021-01-21,30-39,f,completedBasicImmu,17
2021-01-21,30-39,f,booster,0
2021-01-21,30-39,m,atLeastOneDose,667
2021-01-21,30-39,m,completedBasicImmu,0
2021-01-21,30-39,m,booster,0
2021-01-21,30-39,NA,atLeastOneDose,0
2021-01-21,30-39,NA,completedBasicImmu,0
2021-01-21,30-39,NA,booster,0
2021-01-21,40-49,d,atLeastOneDose,0
2021-01-21,40-49,d,completedBasicImmu,0
2021-01-21,40-49,d,booster,0
2021-01-21,40-49,f,atLeastOneDose,941
2021-01-21,40-49,f,completedBasicImmu,11
2021-01-21,40-49,f,booster,0
2021-01-21,40-49,m,atLeastOneDose,668
2021-01-21,40-49,m,completedBasicImmu,0
2021-01-21,40-49,m,booster,0
2021-01-21,40-49,NA,atLeastOneDose,0
2021-01-21,40-49,NA,completedBasicImmu,0
2021-01-21,40-49,NA,booster,0
2021-01-21,50-59,d,atLeastOneDose,0
2021-01-21,50-59,d,completedBasicImmu,0
2021-01-21,50-59,d,booster,0
2021-01-21,50-59,f,atLeastOneDose,1196
2021-01-21,50-59,f,completedBasicImmu,0
2021-01-21,50-59,f,booster,0
2021-01-21,50-59,m,atLeastOneDose,914
2021-01-21,50-59,m,completedBasicImmu,0
2021-01-21,50-59,m,booster,0
2021-01-21,50-59,NA,atLeastOneDose,0
2021-01-21,50-59,NA,completedBasicImmu,0
2021-01-21,50-59,NA,booster,0
2021-01-21,60-69,d,atLeastOneDose,0
2021-01-21,60-69,d,completedBasicImmu,0
2021-01-21,60-69,d,booster,0
2021-01-21,60-69,f,atLeastOneDose,1055
2021-01-21,60-69,f,completedBasicImmu,0
2021-01-21,60-69,f,booster,0
2021-01-21,60-69,m,atLeastOneDose,1121
2021-01-21,60-69,m,completedBasicImmu,0
2021-01-21,60-69,m,booster,0
2021-01-21,60-69,NA,atLeastOneDose,0
2021-01-21,60-69,NA,completedBasicImmu,0
2021-01-21,60-69,NA,booster,0
2021-01-21,70-79,d,atLeastOneDose,0
2021-01-21,70-79,d,completedBasicImmu,0
2021-01-21,70-79,d,booster,0
2021-01-21,70-79,f,atLeastOneDose,2427
2021-01-21,70-79,f,completedBasicImmu,0
2021-01-21,70-79,f,booster,0
2021-01-21,70-79,m,atLeastOneDose,2860
2021-01-21,70-79,m,completedBasicImmu,0
2021-01-21,70-79,m,booster,0
2021-01-21,70-79,NA,atLeastOneDose,0
2021-01-21,70-79,NA,completedBasicImmu,0
2021-01-21,70-79,NA,booster,0
2021-01-21,80+,d,atLeastOneDose,0
2021-01-21,80+,d,completedBasicImmu,0
2021-01-21,80+,d,booster,0
2021-01-21,80+,f,atLeastOneDose,3482
2021-01-21,80+,f,completedBasicImmu,0
2021-01-21,80+,f,booster,0
2021-01-21,80+,m,atLeastOneDose,3015
2021-01-21,80+,m,completedBasicImmu,0
2021-01-21,80+,m,booster,0
2021-01-21,80+,NA,atLeastOneDose,0
2021-01-21,80+,NA,completedBasicImmu,0
2021-01-21,80+,NA,booster,0
2021-01-22,0-9,d,atLeastOneDose,0
2021-01-22,0-9,d,completedBasicImmu,0
2021-01-22,0-9,d,booster,0
2021-01-22,0-9,f,atLeastOneDose,0
2021-01-22,0-9,f,completedBasicImmu,0
2021-01-22,0-9,f,booster,0
2021-01-22,0-9,m,atLeastOneDose,0
2021-01-22,0-9,m,completedBasicImmu,0
2021-01-22,0-9,m,booster,0
2021-01-22,0-9,NA,atLeastOneDose,0
2021-01-22,0-9,NA,completedBasicImmu,0
2021-01-22,0-9,NA,booster,0
2021-01-22,10-19,d,atLeastOneDose,0
2021-01-22,10-19,d,completedBasicImmu,0
2021-01-22,10-19,d,booster,0
2021-01-22,10-19,f,atLeastOneDose,46
2021-01-22,10-19,f,completedBasicImmu,0
2021-01-22,10-19,f,booster,0
2021-01-22,10-19,m,atLeastOneDose,16
2021-01-22,10-19,m,completedBasicImmu,0
2021-01-22,10-19,m,booster,0
2021-01-22,10-19,NA,atLeastOneDose,0
2021-01-22,10-19,NA,completedBasicImmu,0
2021-01-22,10-19,NA,booster,0
2021-01-22,20-29,d,atLeastOneDose,0
2021-01-22,20-29,d,completedBasicImmu,0
2021-01-22,20-29,d,booster,0
2021-01-22,20-29,f,atLeastOneDose,634
2021-01-22,20-29,f,completedBasicImmu,12
2021-01-22,20-29,f,booster,0
2021-01-22,20-29,m,atLeastOneDose,313
2021-01-22,20-29,m,completedBasicImmu,0
2021-01-22,20-29,m,booster,0
2021-01-22,20-29,NA,atLeastOneDose,0
2021-01-22,20-29,NA,completedBasicImmu,0
2021-01-22,20-29,NA,booster,0
2021-01-22,30-39,d,atLeastOneDose,0
2021-01-22,30-39,d,completedBasicImmu,0
2021-01-22,30-39,d,booster,0
2021-01-22,30-39,f,atLeastOneDose,1147
2021-01-22,30-39,f,completedBasicImmu,20
2021-01-22,30-39,f,booster,0
2021-01-22,30-39,m,atLeastOneDose,762
2021-01-22,30-39,m,completedBasicImmu,10
2021-01-22,30-39,m,booster,0
2021-01-22,30-39,NA,atLeastOneDose,0
2021-01-22,30-39,NA,completedBasicImmu,0
2021-01-22,30-39,NA,booster,0
2021-01-22,40-49,d,atLeastOneDose,0
2021-01-22,40-49,d,completedBasicImmu,0
2021-01-22,40-49,d,booster,0
2021-01-22,40-49,f,atLeastOneDose,1159
2021-01-22,40-49,f,completedBasicImmu,11
2021-01-22,40-49,f,booster,0
2021-01-22,40-49,m,atLeastOneDose,802
2021-01-22,40-49,m,completedBasicImmu,0
2021-01-22,40-49,m,booster,0
2021-01-22,40-49,NA,atLeastOneDose,0
2021-01-22,40-49,NA,completedBasicImmu,0
2021-01-22,40-49,NA,booster,0
2021-01-22,50-59,d,atLeastOneDose,0
2021-01-22,50-59,d,completedBasicImmu,0
2021-01-22,50-59,d,booster,0
2021-01-22,50-59,f,atLeastOneDose,1525
2021-01-22,50-59,f,completedBasicImmu,0
2021-01-22,50-59,f,booster,0
2021-01-22,50-59,m,atLeastOneDose,1125
2021-01-22,50-59,m,completedBasicImmu,0
2021-01-22,50-59,m,booster,0
2021-01-22,50-59,NA,atLeastOneDose,0
2021-01-22,50-59,NA,completedBasicImmu,0
2021-01-22,50-59,NA,booster,0
2021-01-22,60-69,d,atLeastOneDose,0
2021-01-22,60-69,d,completedBasicImmu,0
2021-01-22,60-69,d,booster,0
2021-01-22,60-69,f,atLeastOneDose,1300
2021-01-22,60-69,f,completedBasicImmu,0
2021-01-22,60-69,f,booster,0
2021-01-22,60-69,m,atLeastOneDose,1342
2021-01-22,60-69,m,completedBasicImmu,0
2021-01-22,60-69,m,booster,0
2021-01-22,60-69,NA,atLeastOneDose,0
2021-01-22,60-69,NA,completedBasicImmu,0
2021-01-22,60-69,NA,booster,0
2021-01-22,70-79,d,atLeastOneDose,0
2021-01-22,70-79,d,completedBasicImmu,0
2021-01-22,70-79,d,booster,0
2021-01-22,70-79,f,atLeastOneDose,3025
2021-01-22,70-79,f,completedBasicImmu,0
2021-01-22,70-79,f,booster,0
2021-01-22,70-79,m,atLeastOneDose,3440
2021-01-22,70-79,m,completedBasicImmu,0
2021-01-22,70-79,m,booster,0
2021-01-22,70-79,NA,atLeastOneDose,0
2021-01-22,70-79,NA,completedBasicImmu,0
2021-01-22,70-79,NA,booster,0
2021-01-22,80+,d,atLeastOneDose,0
2021-01-22,80+,d,completedBasicImmu,0
2021-01-22,80+,d,booster,0
2021-01-22,80+,f,atLeastOneDose,4396
2021-01-22,80+,f,completedBasicImmu,0
2021-01-22,80+,f,booster,0
2021-01-22,80+,m,atLeastOneDose,3712
2021-01-22,80+,m,completedBasicImmu,0
2021-01-22,80+,m,booster,0
2021-01-22,80+,NA,atLeastOneDose,0
2021-01-22,80+,NA,completedBasicImmu,0
2021-01-22,80+,NA,booster,0
2021-01-23,0-9,d,atLeastOneDose,0
2021-01-23,0-9,d,completedBasicImmu,0
2021-01-23,0-9,d,booster,0
2021-01-23,0-9,f,atLeastOneDose,0
2021-01-23,0-9,f,completedBasicImmu,0
2021-01-23,0-9,f,booster,0
2021-01-23,0-9,m,atLeastOneDose,0
2021-01-23,0-9,m,completedBasicImmu,0
2021-01-23,0-9,m,booster,0
2021-01-23,0-9,NA,atLeastOneDose,0
2021-01-23,0-9,NA,completedBasicImmu,0
2021-01-23,0-9,NA,booster,0
2021-01-23,10-19,d,atLeastOneDose,0
2021-01-23,10-19,d,completedBasicImmu,0
2021-01-23,10-19,d,booster,0
2021-01-23,10-19,f,atLeastOneDose,51
2021-01-23,10-19,f,completedBasicImmu,0
2021-01-23,10-19,f,booster,0
2021-01-23,10-19,m,atLeastOneDose,18
2021-01-23,10-19,m,completedBasicImmu,0
2021-01-23,10-19,m,booster,0
2021-01-23,10-19,NA,atLeastOneDose,0
2021-01-23,10-19,NA,completedBasicImmu,0
2021-01-23,10-19,NA,booster,0
2021-01-23,20-29,d,atLeastOneDose,0
2021-01-23,20-29,d,completedBasicImmu,0
2021-01-23,20-29,d,booster,0
2021-01-23,20-29,f,atLeastOneDose,650
2021-01-23,20-29,f,completedBasicImmu,12
2021-01-23,20-29,f,booster,0
2021-01-23,20-29,m,atLeastOneDose,315
2021-01-23,20-29,m,completedBasicImmu,0
2021-01-23,20-29,m,booster,0
2021-01-23,20-29,NA,atLeastOneDose,0
2021-01-23,20-29,NA,completedBasicImmu,0
2021-01-23,20-29,NA,booster,0
2021-01-23,30-39,d,atLeastOneDose,0
2021-01-23,30-39,d,completedBasicImmu,0
2021-01-23,30-39,d,booster,0
2021-01-23,30-39,f,atLeastOneDose,1184
2021-01-23,30-39,f,completedBasicImmu,25
2021-01-23,30-39,f,booster,0
2021-01-23,30-39,m,atLeastOneDose,767
2021-01-23,30-39,m,completedBasicImmu,11
2021-01-23,30-39,m,booster,0
2021-01-23,30-39,NA,atLeastOneDose,0
2021-01-23,30-39,NA,completedBasicImmu,0
2021-01-23,30-39,NA,booster,0
2021-01-23,40-49,d,atLeastOneDose,0
2021-01-23,40-49,d,completedBasicImmu,0
2021-01-23,40-49,d,booster,0
2021-01-23,40-49,f,atLeastOneDose,1194
2021-01-23,40-49,f,completedBasicImmu,12
2021-01-23,40-49,f,booster,0
2021-01-23,40-49,m,atLeastOneDose,829
2021-01-23,40-49,m,completedBasicImmu,0
2021-01-23,40-49,m,booster,0
2021-01-23,40-49,NA,atLeastOneDose,0
2021-01-23,40-49,NA,completedBasicImmu,0
2021-01-23,40-49,NA,booster,0
2021-01-23,50-59,d,atLeastOneDose,0
2021-01-23,50-59,d,completedBasicImmu,0
2021-01-23,50-59,d,booster,0
2021-01-23,50-59,f,atLeastOneDose,1605
2021-01-23,50-59,f,completedBasicImmu,0
2021-01-23,50-59,f,booster,0
2021-01-23,50-59,m,atLeastOneDose,1166
2021-01-23,50-59,m,completedBasicImmu,0
2021-01-23,50-59,m,booster,0
2021-01-23,50-59,NA,atLeastOneDose,0
2021-01-23,50-59,NA,completedBasicImmu,0
2021-01-23,50-59,NA,booster,0
2021-01-23,60-69,d,atLeastOneDose,0
2021-01-23,60-69,d,completedBasicImmu,0
2021-01-23,60-69,d,booster,0
2021-01-23,60-69,f,atLeastOneDose,1367
2021-01-23,60-69,f,completedBasicImmu,0
2021-01-23,60-69,f,booster,0
2021-01-23,60-69,m,atLeastOneDose,1408
2021-01-23,60-69,m,completedBasicImmu,0
2021-01-23,60-69,m,booster,0
2021-01-23,60-69,NA,atLeastOneDose,0
2021-01-23,60-69,NA,completedBasicImmu,0
2021-01-23,60-69,NA,booster,0
2021-01-23,70-79,d,atLeastOneDose,0
2021-01-23,70-79,d,completedBasicImmu,0
2021-01-23,70-79,d,booster,0
2021-01-23,70-79,f,atLeastOneDose,3216
